Species,Antigen,Clone,Catalog no.,Flurochrome,Product name,Acetone human,4% PFA human,FFPE human,FFPE human RNAsky,Acetone mouse,4% PFA mouse,FFPE mouse,Gene names,Antibody type,Company
human,CD65,VIM8,130-127-298,APC,"CD65 Antibody, anti-human",no,yes,yes,,,,,,Hybridoma,Miltenyi
human,CD65,VIM8,130-108-235,FITC,"CD65 Antibody, anti-human",no,yes,yes,,,,,,Hybridoma,Miltenyi
human,CD65,VIM8,130-108-236,PE,"CD65 Antibody, anti-human",no,yes,yes,,,,,,Hybridoma,Miltenyi
mouse,CD66a,REA410,130-106-210,APC,"CD66a Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,BB-1; BGP; BGP1; C-CAM; CC1; CD66A; CEA-1; CEA-7; CEA1; CEA7; CEACAM1; HV-2; HV2; MCEA1; MHV-1; MHVR; MHVR1; MMCGM1; MMCGM1A; MMCGM2,REA,Miltenyi
mouse,CD66a,REA410,130-125-525,PE,"CD66a Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,BB-1; BGP; BGP1; C-CAM; CC1; CD66A; CEA-1; CEA-7; CEA1; CEA7; CEACAM1; HV-2; HV2; MCEA1; MHV-1; MHVR; MHVR1; MMCGM1; MMCGM1A; MMCGM2,REA,Miltenyi
human,CD66abce,REA1230,130-124-504,APC,"CD66abce Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,BGP; BGP1; BGPI; CD66B; CD66C; CD66E; CD67; CEA; CEACAM1; CEACAM5; CEACAM6; CEACAM8; CEAL; CGM6; NCA; NCA-95,REA,Miltenyi
human,CD66abce,REA1230,130-124-503,PE,"CD66abce Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,BGP; BGP1; BGPI; CD66B; CD66C; CD66E; CD67; CEA; CEACAM1; CEACAM5; CEACAM6; CEACAM8; CEAL; CGM6; NCA; NCA-95,REA,Miltenyi
human,CD66abce,TET2,130-118-539,APC,"CD66abce Antibody, anti-human",yes,yes,yes,,,,,BGP; BGP1; BGPI; CD66B; CD66C; CD66E; CD67; CEA; CEACAM1; CEACAM5; CEACAM6; CEACAM8; CEAL; CGM6; NCA; NCA-95,Hybridoma,Miltenyi
human,CD66abce,TET2,130-116-522,FITC,"CD66abce Antibody, anti-human",yes,yes,yes,,,,,BGP; BGP1; BGPI; CD66B; CD66C; CD66E; CD67; CEA; CEACAM1; CEACAM5; CEACAM6; CEACAM8; CEAL; CGM6; NCA; NCA-95,Hybridoma,Miltenyi
human,CD66abce,TET2,130-117-699,PE,"CD66abce Antibody, anti-human",yes,yes,yes,,,,,BGP; BGP1; BGPI; CD66B; CD66C; CD66E; CD67; CEA; CEACAM1; CEACAM5; CEACAM6; CEACAM8; CEAL; CGM6; NCA; NCA-95,Hybridoma,Miltenyi
human,CD66acde,REA428,130-126-512,APC,"CD66acde Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,BGP; BGP1; BGPI; CD66C; CD66D; CD66E; CEA; CEACAM1; CEACAM3; CEACAM5; CEACAM6; CEAL; CGM1; NCA; W264; W282,REA,Miltenyi
human,CD66acde,REA428,130-125-211,PE,"CD66acde Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,BGP; BGP1; BGPI; CD66C; CD66D; CD66E; CEA; CEACAM1; CEACAM3; CEACAM5; CEACAM6; CEAL; CGM1; NCA; W264; W282,REA,Miltenyi
human,CD66ace,REA889,130-114-482,APC,"CD66ace Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,CEACAM1; BGP; BGP1; BGPI; CEACAM5; CD66E; CEA; CEACAM6; CD66C; CEAL; NCA,REA,Miltenyi
human,CD66ace,REA889,130-114-480,FITC,"CD66ace Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,CEACAM1; BGP; BGP1; BGPI; CEACAM5; CD66E; CEA; CEACAM6; CD66C; CEAL; NCA,REA,Miltenyi
human,CD66ace,REA889,130-114-481,PE,"CD66ace Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,CEACAM1; BGP; BGP1; BGPI; CEACAM5; CD66E; CEA; CEACAM6; CD66C; CEAL; NCA,REA,Miltenyi
human,CD66ace,REAL1206,130-128-927,PE,"CD66ace Antibody, anti-human, REAdye_lease™",yes,yes,yes,,,,,CEACAM1; BGP; BGP1; BGPI; CEACAM5; CD66E; CEA; CEACAM6; CD66C; CEAL; NCA,REAL,Miltenyi
human,CD66ace,REAL1206,130-136-393,Vio B515,"CD66ace Antibody, anti-human, REAdye_lease™",,yes,,,,,,CEACAM1; BGP; BGP1; BGPI; CEACAM5; CD66E; CEA; CEACAM6; CD66C; CEAL; NCA,REAL,Miltenyi
human,CD66b,REAL926,130-131-520,PE,"CD66b Antibody, anti-human, REAdye_lease™",,no,yes,,,,,CD66B; CD67; CEACAM8; CGM6; NCA-95,REAL,Miltenyi
human,CD66b,REAL926,130-135-636,Vio B515,"CD66b Antibody, anti-human, REAdye_lease™",,,yes,,,,,CD66B; CD67; CEACAM8; CGM6; NCA-95,REAL,Miltenyi
human,CD66b,REA306,130-117-692,APC,"CD66b Antibody, anti-human, REAfinity™",yes,no,yes,yes,,,,CD66B; CD67; CEACAM8; CGM6; NCA-95,REA,Miltenyi
human,CD66b,REA306,130-123-694,FITC,"CD66b Antibody, anti-human, REAfinity™",yes,no,yes,yes,,,,CD66B; CD67; CEACAM8; CGM6; NCA-95,REA,Miltenyi
human,CD66b,REA306,130-122-922,PE,"CD66b Antibody, anti-human, REAfinity™",yes,no,yes,yes,,,,CD66B; CD67; CEACAM8; CGM6; NCA-95,REA,Miltenyi
human,CD66c,REA414,130-125-850,APC,"CD66c Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,CD66C; CEACAM6; CEAL; NCA,REA,Miltenyi
human,CD66c,REA414,130-120-240,FITC,"CD66c Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,CD66C; CEACAM6; CEAL; NCA,REA,Miltenyi
human,CD66c,REA414,130-123-270,PE,"CD66c Antibody, anti-human, REAfinity™",yes,yes,yes,,,,,CD66C; CEACAM6; CEAL; NCA,REA,Miltenyi
human,CD66c,REAL1310,130-130-618,PE,"CD66c Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,CD66C; CEACAM6; CEAL; NCA,REAL,Miltenyi
human,CD66c,REAL1310,130-130-624,Vio B515,"CD66c Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,CD66C; CEACAM6; CEAL; NCA,REAL,Miltenyi
human,CD66c,REAL1310,130-133-165,Vio R667,"CD66c Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,CD66C; CEACAM6; CEAL; NCA,REAL,Miltenyi
human,CD66e (CEACAM5),REA876,130-114-218,APC,"CD66e (CEACAM5) Antibody, anti-human, REAfinity™",,,yes,,,,,CEACAM5; CD66E; CEA,REA,Miltenyi
human,CD66e (CEACAM5),REA876,130-114-216,FITC,"CD66e (CEACAM5) Antibody, anti-human, REAfinity™",,,yes,,,,,CEACAM5; CD66E; CEA,REA,Miltenyi
human,CD66e (CEACAM5),REA876,130-114-217,PE,"CD66e (CEACAM5) Antibody, anti-human, REAfinity™",,,yes,,,,,CEACAM5; CD66E; CEA,REA,Miltenyi
human,CD66e (CEACAM5),REAL1382,130-134-207,PE,"CD66e (CEACAM5) Antibody, anti-human, REAdye_lease™",,,yes,,,,,CEACAM5; CD66E; CEA,REAL,Miltenyi
human,CD66e (CEACAM5),REAL1382,130-134-201,Vio B515,"CD66e (CEACAM5) Antibody, anti-human, REAdye_lease™",,,yes,,,,,CEACAM5; CD66E; CEA,REAL,Miltenyi
human,CD66e (CEACAM5),REA1158,130-120-344,FITC,"CD66e (CEACAM5) Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,CD66E; CEA; CEACAM5,REA,Miltenyi
human,CD66e (CEACAM5),REA1158,130-120-345,PE,"CD66e (CEACAM5) Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,CD66E; CEA; CEACAM5,REA,Miltenyi
human,CD68,REAL1346,130-131-521,PE,"CD68 Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,CD68; GP110; LAMP4; SCARD1,REAL,Miltenyi
human,CD68,REAL566,130-123-361,FITC,"CD68 Antibody, anti-human, REAdye_lease™",yes,yes,,,,,,CD68; GP110; LAMP4; SCARD1,REAL,Miltenyi
human,CD68,REAL566,130-123-368,PE,"CD68 Antibody, anti-human, REAdye_lease™",yes,yes,,,,,,CD68; GP110; LAMP4; SCARD1,REAL,Miltenyi
human,CD68,REA1306,130-128-345,PE,"CD68 Antibody, anti-human, REAfinity™",yes,yes,yes,yes,,,,CD68; GP110; LAMP4; SCARD1,REA,Miltenyi
human,CD68,REA886,130-114-461,APC,"CD68 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD68; GP110; LAMP4; SCARD1,REA,Miltenyi
human,CD68,REA886,130-114-460,PE,"CD68 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD68; GP110; LAMP4; SCARD1,REA,Miltenyi
human,CD68,Y1/82A,130-125-857,APC,"CD68 Antibody, anti-human",yes,yes,no,,,,,CD68; GP110; LAMP4; SCARD1,Hybridoma,Miltenyi
human,CD68,Y1/82A,130-130-187,FITC,"CD68 Antibody, anti-human",yes,yes,no,,,,,CD68; GP110; LAMP4; SCARD1,Hybridoma,Miltenyi
human,CD68,Y1/82A,130-118-348,PE,"CD68 Antibody, anti-human",yes,yes,no,,,,,CD68; GP110; LAMP4; SCARD1,Hybridoma,Miltenyi
mouse,CD68,FA-11,130-102-585,APC,"CD68 Antibody, anti-mouse",,,,,yes,yes,no,CD68; GP110; LAMP4; SCARD1,Hybridoma,Miltenyi
mouse,CD68,FA-11,130-102-534,FITC,"CD68 Antibody, anti-mouse",,,,,yes,yes,no,CD68; GP110; LAMP4; SCARD1,Hybridoma,Miltenyi
mouse,CD68,FA-11,130-102-614,PE,"CD68 Antibody, anti-mouse",,,,,yes,yes,no,CD68; GP110; LAMP4; SCARD1,Hybridoma,Miltenyi
mouse,CD68,REA835,130-112-857,APC,"CD68 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,no,CD68; GP110; LAMP4; SCARD1,REA,Miltenyi
mouse,CD68,REA835,130-112-855,FITC,"CD68 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,no,CD68; GP110; LAMP4; SCARD1,REA,Miltenyi
mouse,CD68,REA835,130-112-856,PE,"CD68 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,no,CD68; GP110; LAMP4; SCARD1,REA,Miltenyi
human,CD69,FN50,130-113-524,PE,"CD69 Antibody, anti-human",yes,no,no,,,,,AIM; BL-AC/P26; CD69; CLEC2C; EA1; GP32/28; MLR-3,Hybridoma,Miltenyi
human,CD69,REAL271,130-121-326,APC,"CD69 Antibody, anti-human, REAdye_lease™",yes,,,,,,,AIM; BL-AC/P26; CD69; CLEC2C; EA1; GP32/28; MLR-3,REAL,Miltenyi
human,CD69,REAL271,130-121-321,FITC,"CD69 Antibody, anti-human, REAdye_lease™",yes,,,,,,,AIM; BL-AC/P26; CD69; CLEC2C; EA1; GP32/28; MLR-3,REAL,Miltenyi
human,CD7,CD7-6B7,130-123-265,APC,"CD7 Antibody, anti-human",yes,yes,no,,,,,CD7; GP40; LEU-9; TP40; TP41,Hybridoma,Miltenyi
human,CD7,CD7-6B7,130-123-247,PE,"CD7 Antibody, anti-human",yes,yes,no,,,,,CD7; GP40; LEU-9; TP40; TP41,Hybridoma,Miltenyi
human,CD7,REA1244,130-124-932,APC,"CD7 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD7; GP40; LEU-9; TP40; TP41,REA,Miltenyi
human,CD7,REA1244,130-124-931,PE,"CD7 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD7; GP40; LEU-9; TP40; TP41,REA,Miltenyi
human,CD7,REAL1421,130-132-494,PE,"CD7 Antibody, anti-human, REAdye_lease™",,yes,,,,,,CD7; GP40; LEU-9; TP40; TP41,REAL,Miltenyi
human,CD71,AC102,130-123-788,APC,"CD71 Antibody, anti-human",yes,yes,no,,,,,CD71; IMD46; P90; T9; TFR; TFR1; TFRC; TR; TRFR,Hybridoma,Miltenyi
human,CD71,AC102,130-126-032,FITC,"CD71 Antibody, anti-human",yes,yes,no,,,,,CD71; IMD46; P90; T9; TFR; TFR1; TFRC; TR; TRFR,Hybridoma,Miltenyi
human,CD71,AC102,130-091-728,PE,"CD71 Antibody, anti-human",yes,yes,no,,,,,CD71; IMD46; P90; T9; TFR; TFR1; TFRC; TR; TRFR,Hybridoma,Miltenyi
human,CD71,REA902,130-115-030,APC,"CD71 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD71; IMD46; P90; T9; TFR; TFR1; TFRC; TR; TRFR,REA,Miltenyi
human,CD71,REA902,130-115-028,FITC,"CD71 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD71; IMD46; P90; T9; TFR; TFR1; TFRC; TR; TRFR,REA,Miltenyi
human,CD71,REA902,130-115-029,PE,"CD71 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD71; IMD46; P90; T9; TFR; TFR1; TFRC; TR; TRFR,REA,Miltenyi
human,CD71,REAL444,130-124-358,PE,"CD71 Antibody, anti-human, REAdye_lease™",yes,yes,,,,,,CD71; IMD46; P90; T9; TFR; TFR1; TFRC; TR; TRFR,REAL,Miltenyi
mouse,CD71,REA627,130-119-133,APC,"CD71 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,2610028K12RIK; CD71; E430033M20RIK; MTVR1; P90; TFR; TFR1; TFRC; TR; TRFR,REA,Miltenyi
mouse,CD71,REA627,130-120-809,PE,"CD71 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,2610028K12RIK; CD71; E430033M20RIK; MTVR1; P90; TFR; TFR1; TFRC; TR; TRFR,REA,Miltenyi
human,CD72,REA231,130-101-333,APC,"CD72 Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD72; CD72B; LYB2,REA,Miltenyi
human,CD72,REA231,130-132-449,FITC,"CD72 Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD72; CD72B; LYB2,REA,Miltenyi
human,CD72,REA231,130-101-335,PE,"CD72 Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD72; CD72B; LYB2,REA,Miltenyi
human,CD73,AD2,130-123-802,APC,"CD73 Antibody, anti-human",yes,yes,no,,,,,CALJA; CD73; E5NT; EN; ENT; NT; NT5; NT5E; NTE,Hybridoma,Miltenyi
human,CD73,AD2,130-120-066,PE,"CD73 Antibody, anti-human",no,yes,no,,,,,CALJA; CD73; E5NT; EN; ENT; NT; NT5; NT5E; NTE,Hybridoma,Miltenyi
human,CD73,REA804,130-111-909,APC,"CD73 Antibody, anti-human, REAfinity™",no,yes,no,,,,,CALJA; CD73; E5NT; EN; ENT; NT; NT5; NT5E; NTE,REA,Miltenyi
human,CD73,REA804,130-111-908,PE,"CD73 Antibody, anti-human, REAfinity™",no,yes,no,,,,,CALJA; CD73; E5NT; EN; ENT; NT; NT5; NT5E; NTE,REA,Miltenyi
mouse,CD73,REA778,130-111-518,APC,"CD73 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,2210401F01RIK; 5'-NT; AI447961; CD73; ENT; NT; NT5; NT5E,REA,Miltenyi
mouse,CD73,REA778,130-111-517,PE,"CD73 Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,2210401F01RIK; 5'-NT; AI447961; CD73; ENT; NT; NT5; NT5E,REA,Miltenyi
mouse,CD73,TY/11.8,130-102-586,APC,"CD73 Antibody, anti-mouse",,,,,yes,yes,,2210401F01RIK; 5'-NT; AI447961; CD73; ENT; NT; NT5; NT5E,Hybridoma,Miltenyi
mouse,CD73,TY/11.8,130-102-535,FITC,"CD73 Antibody, anti-mouse",,,,,yes,yes,,2210401F01RIK; 5'-NT; AI447961; CD73; ENT; NT; NT5; NT5E,Hybridoma,Miltenyi
mouse,CD73,TY/11.8,130-102-616,PE,"CD73 Antibody, anti-mouse",,,,,yes,yes,,2210401F01RIK; 5'-NT; AI447961; CD73; ENT; NT; NT5; NT5E,Hybridoma,Miltenyi
human,CD73 (NT5E),REAL1172,130-129-891,FITC,"CD73 (NT5E) Antibody, anti-human, REAdye_lease™",no,yes,yes,,,,,NT5E; CALJA; CD73; E5NT; NT; NT5; NTE; eN; eNT,REAL,Miltenyi
human,CD74,5-329,130-101-532,APC,"CD74 Antibody, anti-human",yes,yes,no,,,,,CD74; DHLAG; HLADG; IA-GAMMA; II,Hybridoma,Miltenyi
human,CD74,5-329,130-101-526,FITC,"CD74 Antibody, anti-human",yes,yes,no,,,,,CD74; DHLAG; HLADG; IA-GAMMA; II,Hybridoma,Miltenyi
human,CD74,5-329,130-101-522,PE,"CD74 Antibody, anti-human",yes,yes,no,,,,,CD74; DHLAG; HLADG; IA-GAMMA; II,Hybridoma,Miltenyi
human,CD74,REA1103,130-119-027,APC,"CD74 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD74; DHLAG; HLADG; IA-GAMMA; II,REA,Miltenyi
human,CD74,REA1103,130-119-026,PE,"CD74 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,CD74; DHLAG; HLADG; IA-GAMMA; II,REA,Miltenyi
human,CD79a,HM47,130-124-244,APC,"CD79a Antibody, anti-human",yes,no,yes,,,,,CD79A; IG-ALPHA; IGA; IGALPHA; LY-54; LY54; MB-1,Hybridoma,Miltenyi
human,CD79a,HM47,130-124-235,PE,"CD79a Antibody, anti-human",yes,no,yes,,,,,CD79A; IG-ALPHA; IGA; IGALPHA; LY-54; LY54; MB-1,Hybridoma,Miltenyi
human,CD79a,REA1142,130-119-723,APC,"CD79a Antibody, anti-human, REAfinity™",,yes,yes,,,,,CD79A; IGA; MB-1,REA,Miltenyi
human,CD79a,REA1142,130-119-722,PE,"CD79a Antibody, anti-human, REAfinity™",,yes,yes,,,,,CD79A; IGA; MB-1,REA,Miltenyi
human,CD79a,REAL1133,130-130-349,PE,"CD79a Antibody, anti-human, REAdye_lease™",no,yes,yes,,,,,CD79A; IGA; MB-1,REAL,Miltenyi
human,CD79a,REAL1696,130-135-628,PE,"CD79a Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,CD79A; IGA; MB-1,REAL,Miltenyi
human,CD79a,REAL1696,130-135-629,Vio B515,"CD79a Antibody, anti-human, REAdye_lease™",,yes,yes,,,,,CD79A; IGA; MB-1,REAL,Miltenyi
"human, mouse",CD79a,REA1168,130-120-934,APC,"CD79a Antibody, anti-human, REAfinity™",yes,no,yes,yes,,,,CD79A; IG-ALPHA; IGA; IGALPHA; LY-54; LY54; MB-1,REA,Miltenyi
"human, mouse",CD79a,REA1168,130-120-933,PE,"CD79a Antibody, anti-human, REAfinity™",yes,no,yes,yes,,,,CD79A; IG-ALPHA; IGA; IGALPHA; LY-54; LY54; MB-1,REA,Miltenyi
human,CD79b,REA120,130-125-853,APC,"CD79b Antibody, anti-human, REAfinity™",yes,no,no,,,,,AGM6; B29; CD79B; IGB,REA,Miltenyi
human,CD79b,REA120,130-123-737,PE,"CD79b Antibody, anti-human, REAfinity™",yes,no,no,,,,,AGM6; B29; CD79B; IGB,REA,Miltenyi
mouse,CD79b,HM79-12,130-105-834,APC,"CD79b Antibody, anti-mouse",,,,,yes,yes,,B29; CD79B; IG-BETA; IGB; IGBETA,Hybridoma,Miltenyi
mouse,CD79b,HM79-12,130-105-833,PE,"CD79b Antibody, anti-mouse",,,,,yes,yes,,B29; CD79B; IG-BETA; IGB; IGBETA,Hybridoma,Miltenyi
mouse,CD79b,REA1117,130-119-426,APC,"CD79b Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,B29; CD79B; IG-BETA; IGB; IGBETA,REA,Miltenyi
mouse,CD79b,REA1117,130-119-425,PE,"CD79b Antibody, anti-mouse, REAfinity™",,,,,yes,yes,,B29; CD79B; IG-BETA; IGB; IGBETA,REA,Miltenyi
human,CD8,BW135/80,130-113-154,APC,"CD8 Antibody, anti-human",yes,yes,no,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,Hybridoma,Miltenyi
human,CD8,BW135/80,130-113-157,FITC,"CD8 Antibody, anti-human",yes,yes,no,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,Hybridoma,Miltenyi
human,CD8,BW135/80,130-113-158,PE,"CD8 Antibody, anti-human",yes,yes,no,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,Hybridoma,Miltenyi
human,CD8,REAL115,130-126-216,PE,"CD8 Antibody, anti-human, REAdye_lease™",yes,no,,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,REAL,Miltenyi
human,CD8,REAL115,130-132-387,Vio B515,"CD8 Antibody, anti-human, REAdye_lease™",yes,yes,,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,REAL,Miltenyi
human,CD8,REA734,130-110-679,APC,"CD8 Antibody, anti-human, REAfinity™",no,yes,no,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,REA,Miltenyi
human,CD8,REA734,130-110-677,FITC,"CD8 Antibody, anti-human, REAfinity™",no,yes,no,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,REA,Miltenyi
human,CD8,REA734,130-110-678,PE,"CD8 Antibody, anti-human, REAfinity™",no,yes,no,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,REA,Miltenyi
human,CD8,REAL100,130-112-070,FITC,"CD8 Antibody, anti-human, REAlease®",yes,,,,,,,CD8; CD8A; CD8B; CD8B1; LEU2; LY3; LYT3; MAL; P32; P37,REAL,Miltenyi
human,CD81,REA513,130-119-787,APC,"CD81 Antibody, anti-human, REAfinity™",yes,,no,,,,,CD81; CVID6; S5.7; TAPA1; TSPAN28,REA,Miltenyi
human,CD81,REA513,130-123-697,FITC,"CD81 Antibody, anti-human, REAfinity™",yes,,no,,,,,CD81; CVID6; S5.7; TAPA1; TSPAN28,REA,Miltenyi
human,CD81,REA513,130-118-342,PE,"CD81 Antibody, anti-human, REAfinity™",yes,,no,,,,,CD81; CVID6; S5.7; TAPA1; TSPAN28,REA,Miltenyi
"mouse, rat",CD81,EAT2,130-102-630,APC,"CD81 Antibody, anti-mouse/rat",,,,,yes,yes,,CD81; CVID6; S5.7; TAPA-1; TAPA1; TSPAN28,Hybridoma,Miltenyi
"mouse, rat",CD81,EAT2,130-126-363,FITC,"CD81 Antibody, anti-mouse/rat",,,,,yes,yes,,CD81; CVID6; S5.7; TAPA-1; TAPA1; TSPAN28,Hybridoma,Miltenyi
"mouse, rat",CD81,EAT2,130-102-632,PE,"CD81 Antibody, anti-mouse/rat",,,,,yes,yes,,CD81; CVID6; S5.7; TAPA-1; TAPA1; TSPAN28,Hybridoma,Miltenyi
human,CD82,REA221,130-101-282,APC,"CD82 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,4F9; C33; CD82; GR15; IA4; KAI1; R2; SAR2; ST6; TSPAN27,REA,Miltenyi
human,CD82,REA221,130-126-376,FITC,"CD82 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,4F9; C33; CD82; GR15; IA4; KAI1; R2; SAR2; ST6; TSPAN27,REA,Miltenyi
human,CD82,REA221,130-101-306,PE,"CD82 Antibody, anti-human, REAfinity™",yes,yes,no,,,,,4F9; C33; CD82; GR15; IA4; KAI1; R2; SAR2; ST6; TSPAN27,REA,Miltenyi
mouse,CD83,REA304,130-104-475,APC,"CD83 Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CD83,REA,Miltenyi
mouse,CD83,REA304,130-104-473,FITC,"CD83 Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CD83,REA,Miltenyi
mouse,CD83,REA304,130-104-474,PE,"CD83 Antibody, anti-mouse, REAfinity™",,,,,yes,no,,CD83,REA,Miltenyi
human,CD85j (ILT2),GHI/75,130-127-975,APC,"CD85j (ILT2) Antibody, anti-human",yes,no,no,,,,,CD85J; ILT-2; ILT2; LILRB1; LIR-1; LIR1; MIR-7; MIR7; PIR-B; PIRB,Hybridoma,Miltenyi
human,CD85j (ILT2),GHI/75,130-126-942,FITC,"CD85j (ILT2) Antibody, anti-human",yes,no,no,,,,,CD85J; ILT-2; ILT2; LILRB1; LIR-1; LIR1; MIR-7; MIR7; PIR-B; PIRB,Hybridoma,Miltenyi
human,CD85j (ILT2),GHI/75,130-125-090,PE,"CD85j (ILT2) Antibody, anti-human",yes,no,no,,,,,CD85J; ILT-2; ILT2; LILRB1; LIR-1; LIR1; MIR-7; MIR7; PIR-B; PIRB,Hybridoma,Miltenyi
human,CD85j (ILT2),REA998,130-116-616,APC,"CD85j (ILT2) Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD85J; ILT-2; ILT2; LILRB1; LIR-1; LIR1; MIR-7; MIR7; PIR-B; PIRB,REA,Miltenyi
human,CD85j (ILT2),REA998,130-116-614,FITC,"CD85j (ILT2) Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD85J; ILT-2; ILT2; LILRB1; LIR-1; LIR1; MIR-7; MIR7; PIR-B; PIRB,REA,Miltenyi
human,CD85j (ILT2),REA998,130-116-615,PE,"CD85j (ILT2) Antibody, anti-human, REAfinity™",yes,no,no,,,,,CD85J; ILT-2; ILT2; LILRB1; LIR-1; LIR1; MIR-7; MIR7; PIR-B; PIRB,REA,Miltenyi
mouse,CD86,PO3.3,130-102-558,APC,"CD86 Antibody, anti-mouse",,,,,no,yes,,B7; B7-2; B7.2; B70; CD28L2; CD86; CLS1; ETC-1; LY-58; LY58; MB7; MB7-2; TS/A-2,Hybridoma,Miltenyi
mouse,CD86,PO3.3,130-123-672,FITC,"CD86 Antibody, anti-mouse",,,,,no,yes,,B7; B7-2; B7.2; B70; CD28L2; CD86; CLS1; ETC-1; LY-58; LY58; MB7; MB7-2; TS/A-2,Hybridoma,Miltenyi
mouse,CD86,PO3.3,130-123-724,PE,"CD86 Antibody, anti-mouse",,,,,no,yes,,B7; B7-2; B7.2; B70; CD28L2; CD86; CLS1; ETC-1; LY-58; LY58; MB7; MB7-2; TS/A-2,Hybridoma,Miltenyi
mouse,CD86,REA1190,130-122-130,APC,"CD86 Antibody, anti-mouse, REAfinity™",,,,,no,yes,,B7; B7-2; B7.2; B70; CD28L2; CD86; CLS1; ETC-1; LY-58; LY58; MB7; MB7-2; TS/A-2,REA,Miltenyi
mouse,CD86,REA1190,130-122-129,PE,"CD86 Antibody, anti-mouse, REAfinity™",,,,,no,yes,,B7; B7-2; B7.2; B70; CD28L2; CD86; CLS1; ETC-1; LY-58; LY58; MB7; MB7-2; TS/A-2,REA,Miltenyi
human,CD88 (C5AR),S5/1,130-137-705,APC,"CD88 (C5AR) Antibody, anti-human",yes,no,yes,,,,,C5A; C5AR; C5AR1; C5R1; CD88,Hybridoma,Miltenyi
mouse,CD88 (C5AR),20/70,130-133-977,FITC,"CD88 (C5AR) Antibody, anti-mouse",,,,,no,yes,,C5AR; C5AR1; C5R1; CD88; D7MSU1,Hybridoma,Miltenyi
human,CD88 (C5AR),S5/1,130-126-501,FITC,"CD88 (C5AR) Antibody, anti-human",yes,no,yes,,,,,C5A; C5AR; C5AR1; C5R1; CD88,Hybridoma,Miltenyi
mouse,CD88 (C5AR),REA1206,130-123-188,APC,"CD88 (C5AR) Antibody, anti-mouse, REAfinity™",,,,,no,yes,,C5AR; C5AR1; C5R1; CD88; D7MSU1,REA,Miltenyi
